Donor,Panel,Instrument,File name
d010,B-cell,Attune,FNA_10_NMO_B PANEL RAINBOW_COMPENSATION_Compensation_VL1-A.fcs
d010,B-cell,Attune,FNA_10_NMO_B PANEL RAINBOW_COMPENSATION_Compensation_VL2-A.fcs
d010,B-cell,Attune,FNA_10_NMO_B PANEL RAINBOW_COMPENSATION_Compensation_VL3-A.fcs
d010,B-cell,Attune,FNA_10_NMO_B PANEL RAINBOW_COMPENSATION_Compensation_VL4-A.fcs
d010,B-cell,Attune,FNA_10_NMO_B PANEL RAINBOW_COMPENSATION_Compensation_YL1-A.fcs
d010,B-cell,Attune,FNA_10_NMO_B PANEL RAINBOW_COMPENSATION_Compensation_YL2-A.fcs
d010,B-cell,Attune,FNA_10_NMO_B PANEL RAINBOW_COMPENSATION_Compensation_YL4-A.fcs
d010,B-cell,Attune,FNA_10_NMO_B PANEL RAINBOW_COMPENSATION_Rainbow beads_20180418.fcs
d010,B-cell,Attune,FNA_10_NMO_B PANEL_B PANEL_HC FNA.fcs
d010,B-cell,Attune,FNA_10_NMO_B PANEL_B PANEL_HC PBMC.fcs
d010,Sort,Aria,"Compensation Controls_405-450,2f,50 Stained Control_006.fcs"
d010,Sort,Aria,"Compensation Controls_405-610,2f,20 Stained Control_007.fcs"
d010,Sort,Aria,"Compensation Controls_405-660,2f,20 Stained Control_008.fcs"
d010,Sort,Aria,"Compensation Controls_488-530,2f,30 Stained Control_004.fcs"
d010,Sort,Aria,"Compensation Controls_561-610,2f,20 Stained Control_005.fcs"
d010,Sort,Aria,"Compensation Controls_561-780,2f,60 Stained Control_009.fcs"
d010,Sort,Aria,"Compensation Controls_633-660,2f,20 Stained Control_002.fcs"
d010,Sort,Aria,"Compensation Controls_633-780,2f,60 Stained Control_003.fcs"
d010,Sort,Aria,Specimen_001_HC FNA_020.fcs
d010,Sort,Aria,Specimen_001_HC PBMC_018.fcs
d011,Sort,Aria,"Compensation Controls_405-450,2f,50 Stained Control_006.fcs"
