Donor,Panel,Instrument,File name
d106,Sort,Aria,"Compensation Controls_561-610,2f,20 Stained Control_005.fcs"
d106,Sort,Aria,"Compensation Controls_561-780,2f,60 Stained Control_009.fcs"
d106,Sort,Aria,"Compensation Controls_633-660,2f,20 Stained Control_002.fcs"
d106,Sort,Aria,"Compensation Controls_633-780,2f,60 Stained Control_003.fcs"
d106,Sort,Aria,Specimen_002_FMO_APC_018.fcs
d106,Sort,Aria,Specimen_002_FMO_APCCy7_019.fcs
d106,Sort,Aria,Specimen_002_FMO_BV605_012.fcs
d106,Sort,Aria,Specimen_002_FMO_BV711_013.fcs
d106,Sort,Aria,Specimen_002_FMO_fitc_014.fcs
d106,Sort,Aria,Specimen_002_FMO_PacB_011.fcs
d106,Sort,Aria,Specimen_002_FMO_PE_015.fcs
d106,Sort,Aria,Specimen_002_FMO_PECy7_017.fcs
d106,Sort,Aria,Specimen_002_FMO_PETxRd_016.fcs
d106,Sort,Aria,Specimen_002_FNA_021.fcs
d106,Sort,Aria,Specimen_002_PBMC_023.fcs
d107,Sort,Aria,"Compensation Controls_405-450,2f,50 Stained Control_001.fcs"
d107,Sort,Aria,"Compensation Controls_405-610,2f,20 Stained Control_002.fcs"
d107,Sort,Aria,"Compensation Controls_405-710,2f,50 Stained Control_003.fcs"
d107,Sort,Aria,"Compensation Controls_488-530,2f,30 Stained Control_004.fcs"
d107,Sort,Aria,"Compensation Controls_561-582,2f,15 Stained Control_005.fcs"
d107,Sort,Aria,"Compensation Controls_561-610,2f,20 Stained Control_006.fcs"
d107,Sort,Aria,"Compensation Controls_561-780,2f,60 Stained Control_007.fcs"
d107,Sort,Aria,"Compensation Controls_640-670,2f,30 Stained Control_008.fcs"
d107,Sort,Aria,"Compensation Controls_640-780,2f,60 Stained Control_009.fcs"
d107,Sort,Aria,Specimen_002_FNA_012.fcs
d107,Sort,Aria,Specimen_002_Patient PBMC_013.fcs
d108,Sort,Aria,"Compensation Controls_405-450,2f,50 Stained Control_001.fcs"
d108,Sort,Aria,"Compensation Controls_405-610,2f,20 Stained Control_002.fcs"
d108,Sort,Aria,"Compensation Controls_405-710,2f,50 Stained Control_003.fcs"
d108,Sort,Aria,"Compensation Controls_488-530,2f,30 Stained Control_004.fcs"
d108,Sort,Aria,"Compensation Controls_561-582,2f,15 Stained Control_005.fcs"
d108,Sort,Aria,"Compensation Controls_561-610,2f,20 Stained Control_006.fcs"
d108,Sort,Aria,"Compensation Controls_561-780,2f,60 Stained Control_007.fcs"
d108,Sort,Aria,"Compensation Controls_640-670,2f,30 Stained Control_008.fcs"
d108,Sort,Aria,"Compensation Controls_640-780,2f,60 Stained Control_009.fcs"
d108,Sort,Aria,Specimen_002_fna nmo 008_001_012.fcs
d108,Sort,Aria,Specimen_002_Full_010.fcs
d108,Sort,Aria,Specimen_002_PBMC_024.fcs
d110,Sort,Aria,"Compensation Controls_405-450,2f,50 Stained Control_006.fcs"
d110,Sort,Aria,"Compensation Controls_405-525,2f,50 Stained Control_011.fcs"
d110,Sort,Aria,"Compensation Controls_405-610,2f,20 Stained Control_007.fcs"
d110,Sort,Aria,"Compensation Controls_405-660,2f,20 Stained Control_008.fcs"
d110,Sort,Aria,"Compensation Controls_488-530,2f,30 Stained Control_004.fcs"
d110,Sort,Aria,"Compensation Controls_561-585,2f,15 Stained Control_010.fcs"
d110,Sort,Aria,"Compensation Controls_561-610,2f,20 Stained Control_005.fcs"
d110,Sort,Aria,"Compensation Controls_561-780,2f,60 Stained Control_009.fcs"
d110,Sort,Aria,"Compensation Controls_633-660,2f,20 Stained Control_002.fcs"
d110,Sort,Aria,"Compensation Controls_633-730,2f,45 Stained Control_012.fcs"
d110,Sort,Aria,"Compensation Controls_633-780,2f,60 Stained Control_003.fcs"
d110,Sort,Aria,Specimen_002_FNA mix_025.fcs
d110,Sort,Aria,Specimen_002_PBMC mix_040.fcs
d111,Sort,Aria,"Compensation Controls_405-450,2f,50 Stained Control_002.fcs"
d111,Sort,Aria,"Compensation Controls_405-525,2f,50 Stained Control_011.fcs"
d111,Sort,Aria,"Compensation Controls_405-610,2f,20 Stained Control_003.fcs"
d111,Sort,Aria,"Compensation Controls_405-710,2f,50 Stained Control_004.fcs"
d111,Sort,Aria,"Compensation Controls_488-530,2f,30 Stained Control_005.fcs"
d111,Sort,Aria,"Compensation Controls_561-582,2f,15 Stained Control_006.fcs"
d111,Sort,Aria,"Compensation Controls_561-610,2f,20 Stained Control_007.fcs"
d111,Sort,Aria,"Compensation Controls_561-780,2f,60 Stained Control_008.fcs"
d111,Sort,Aria,"Compensation Controls_640-670,2f,30 Stained Control_009.fcs"
d111,Sort,Aria,"Compensation Controls_640-730,2f,45 Stained Control_012.fcs"
d111,Sort,Aria,"Compensation Controls_640-780,2f,60 Stained Control_010.fcs"
d111,Sort,Aria,Specimen_001_FNA sample_014.fcs 
d111,Sort,Aria,Specimen_001_PBMC sample_015.fcs
d112,Sort,Aria,Specimen_001_FNA sample_012.fcs
d112,Sort,Aria,Specimen_001_PBMC _012.fcs
d113,Sort,Aria,Specimen_001_FNA sample FYCOLL_013.fcs
d113,Sort,Aria,Specimen_001_PBMC _013.fcs
d114,B-cell,Attune,"Compensation Controls_405-450,2f,50 Stained Control_006.fcs"
d114,B-cell,Attune,"Compensation Controls_405-525,2f,50 Stained Control_011.fcs"
d114,B-cell,Attune,"Compensation Controls_405-610,2f,20 Stained Control_007.fcs"
d114,B-cell,Attune,"Compensation Controls_405-660,2f,20 Stained Control_008.fcs"
d114,B-cell,Attune,"Compensation Controls_488-530,2f,30 Stained Control_004.fcs"
d114,B-cell,Attune,"Compensation Controls_561-585,2f,15 Stained Control_010.fcs"
d114,B-cell,Attune,"Compensation Controls_561-610,2f,20 Stained Control_005.fcs"
d114,B-cell,Attune,"Compensation Controls_561-780,2f,60 Stained Control_009.fcs"
d114,B-cell,Attune,"Compensation Controls_633-660,2f,20 Stained Control_002.fcs"
d114,B-cell,Attune,"Compensation Controls_633-730,2f,45 Stained Control_012.fcs"
d114,B-cell,Attune,"Compensation Controls_633-780,2f,60 Stained Control_003.fcs"
d114,B-cell,Attune,Specimen_002_FNA mix_024.fcs
d114,B-cell,Attune,Specimen_002_PBMC_035.fcs
d115,B-cell,Attune,FNA NMO 015 11062019_Compensation_BL1-A.fcs
d115,B-cell,Attune,FNA NMO 015 11062019_Compensation_RL1-A.fcs
d115,B-cell,Attune,FNA NMO 015 11062019_Compensation_RL2-A.fcs
d115,B-cell,Attune,FNA NMO 015 11062019_Compensation_RL3-A.fcs
d115,B-cell,Attune,FNA NMO 015 11062019_Compensation_VL1-A.fcs
d115,B-cell,Attune,FNA NMO 015 11062019_Compensation_VL2-A.fcs
d115,B-cell,Attune,FNA NMO 015 11062019_Compensation_VL3-A.fcs
d115,B-cell,Attune,FNA NMO 015 11062019_Compensation_VL4-A.fcs
d115,B-cell,Attune,FNA NMO 015 11062019_Compensation_YL1-A.fcs
d115,B-cell,Attune,FNA NMO 015 11062019_Compensation_YL2-A.fcs
d115,B-cell,Attune,FNA NMO 015 11062019_Compensation_YL4-A.fcs
d115,B-cell,Attune,FNA NMO 015 11062019_Group_NMO FNA.fcs
d115,B-cell,Attune,FNA NMO 015 11062019_Group_NMO PBMC.fcs
d116,B-cell,Attune,FNA NMO 016 15072019_Compensation_BL1-A.fcs
d116,B-cell,Attune,FNA NMO 016 15072019_Compensation_RL1-A.fcs
d116,B-cell,Attune,FNA NMO 016 15072019_Compensation_RL2-A.fcs
d116,B-cell,Attune,FNA NMO 016 15072019_Compensation_RL3-A.fcs
d116,B-cell,Attune,FNA NMO 016 15072019_Compensation_VL1-A.fcs
d116,B-cell,Attune,FNA NMO 016 15072019_Compensation_VL2-A.fcs
d116,B-cell,Attune,FNA NMO 016 15072019_Compensation_VL3-A.fcs
d116,B-cell,Attune,FNA NMO 016 15072019_Compensation_VL4-A.fcs
d116,B-cell,Attune,FNA NMO 016 15072019_Compensation_YL1-A.fcs
d116,B-cell,Attune,FNA NMO 016 15072019_Compensation_YL2-A.fcs
d116,B-cell,Attune,FNA NMO 016 15072019_Compensation_YL4-A.fcs
d116,B-cell,Attune,FNA NMO 016 15072019_Group_NMO FNA.fcs
d116,B-cell,Attune,FNA NMO 016 15072019_Group_NMO PBMC.fcs
d117,B-cell,Attune,FNA NMO 017 23072019_Compensation_BL1-A.fcs
d117,B-cell,Attune,FNA NMO 017 23072019_Compensation_RL1-A.fcs
d117,B-cell,Attune,FNA NMO 017 23072019_Compensation_RL2-A.fcs
d117,B-cell,Attune,FNA NMO 017 23072019_Compensation_RL3-A.fcs
d117,B-cell,Attune,FNA NMO 017 23072019_Compensation_VL1-A.fcs
d117,B-cell,Attune,FNA NMO 017 23072019_Compensation_VL2-A.fcs
d117,B-cell,Attune,FNA NMO 017 23072019_Compensation_VL3-A.fcs
d117,B-cell,Attune,FNA NMO 017 23072019_Compensation_VL4-A.fcs
d117,B-cell,Attune,FNA NMO 017 23072019_Compensation_YL1-A.fcs
d117,B-cell,Attune,FNA NMO 017 23072019_Compensation_YL2-A.fcs
d117,B-cell,Attune,FNA NMO 017 23072019_Compensation_YL4-A.fcs
d117,B-cell,Attune,FNA NMO 017 23072019_Group_NMO FNA.fcs
d117,B-cell,Attune,FNA NMO 017 23072019_Group_NMO PBMC.fcs
d118,B-cell,Attune,FNA NMO 018 22102019_Group_NMO PBMC.fcs
d118,B-cell,Attune,FNA NMO 018 22102019_Compensation_BL1-A.fcs
d118,B-cell,Attune,FNA NMO 018 22102019_Compensation_RL1-A.fcs
d118,B-cell,Attune,FNA NMO 018 22102019_Compensation_RL2-A.fcs
d118,B-cell,Attune,FNA NMO 018 22102019_Compensation_RL3-A.fcs
d118,B-cell,Attune,FNA NMO 018 22102019_Compensation_VL1-A.fcs
d118,B-cell,Attune,FNA NMO 018 22102019_Compensation_VL2-A.fcs
d118,B-cell,Attune,FNA NMO 018 22102019_Compensation_VL3-A.fcs
d118,B-cell,Attune,FNA NMO 018 22102019_Compensation_VL4-A.fcs
d118,B-cell,Attune,FNA NMO 018 22102019_Compensation_YL1-A.fcs
d118,B-cell,Attune,FNA NMO 018 22102019_Compensation_YL2-A.fcs
d118,B-cell,Attune,FNA NMO 018 22102019_Compensation_YL4-A.fcs
d118,B-cell,Attune,FNA NMO 018 22102019_Group_NMO FNA.fcs
d119,B-cell,Attune,BL1-A.fcs
d119,B-cell,Attune,NMO FNA.fcs
d119,B-cell,Attune,NMO PBMC.fcs
d119,B-cell,Attune,RL1-A.fcs
d119,B-cell,Attune,RL2-A.fcs
d119,B-cell,Attune,RL3-A.fcs
d119,B-cell,Attune,VL1-A.fcs
d119,B-cell,Attune,VL2-A.fcs
d119,B-cell,Attune,VL3-A.fcs
d119,B-cell,Attune,VL4-A.fcs
d119,B-cell,Attune,YL1-A.fcs
d119,B-cell,Attune,YL2-A.fcs
d119,B-cell,Attune,YL4-A.fcs
